epoch,accuracy,loss,val_accuracy,val_loss
0,0.7440000176429749,0.8249056339263916,0.7387499809265137,0.6984316110610962
1,0.828000009059906,0.4301908314228058,0.8787500262260437,0.3043711185455322
2,0.8619999885559082,0.3689000606536865,0.8112499713897705,0.5775729417800903
3,0.8899999856948853,0.3172047436237335,0.8399999737739563,0.4457862973213196
4,0.9120000004768372,0.24771735072135925,0.875,0.3373981714248657
5,0.9079999923706055,0.25483667850494385,0.9049999713897705,0.3095701336860657
6,0.9290000200271606,0.178130105137825,0.8824999928474426,0.45869502425193787
7,0.9449999928474426,0.15341788530349731,0.8912500143051147,0.45280420780181885
8,0.9549999833106995,0.13928896188735962,0.8912500143051147,0.4087449312210083
9,0.953000009059906,0.13887694478034973,0.9012500047683716,0.47555747628211975
